timestamp,POE,AOE,HR,FE,PS
1669303539387782923,2.24027e-05,1.57075,-5.3818e-05,8.54647e-05,0.000186617
1669303539406870816,2.24027e-05,1.57075,0.000237642,8.54647e-05,0.000186617
1669303539427096066,2.24027e-05,1.57075,0.000252982,8.54647e-05,0.000186617
1669303539447053812,2.24027e-05,1.57075,0.000252982,8.54647e-05,0.000186617
1669303539466922863,7.06272e-06,1.57075,0.000252982,8.54647e-05,0.000186617
1669303539487515693,7.06272e-06,1.57075,0.000252982,8.54647e-05,0.000186617
1669303539529777756,7.06272e-06,1.57075,0.000252982,8.54647e-05,0.000186617
1669303539529846786,7.06272e-06,1.57075,0.000252982,-5.25954e-05,0.000186617
1669303539573866761,-2.36173e-05,1.57075,0.000252982,-0.000221336,0.000186617
1669303539617759858,-2.36173e-05,1.57075,0.000252982,-0.000236676,0.000186617
1669303539661935727,-2.36173e-05,1.57075,0.000252982,-0.000252016,0.000186617
1669303539705749194,-2.36173e-05,1.57075,0.000252982,-0.000252016,0.000186617
1669303539748605674,-2.36173e-05,1.57075,0.000252982,-0.000252016,0.000186617
1669303539749037886,-2.36173e-05,1.57075,0.000252982,-0.000252016,0.000186617
1669303539768218683,-3.89573e-05,1.57075,0.000252982,-0.000252016,0.000186617
1669303539787033693,-5.42973e-05,1.57075,0.000252982,-0.000252016,0.000186617
1669303539829733318,-0.000115657,1.57075,0.000252982,-0.000252016,0.000186617
1669303539873976674,-0.000115657,1.57075,0.000252982,-0.000252016,0.000186617
1669303539917799328,-0.000115657,1.57075,0.000252982,-0.000252016,0.000186617
1669303539961877824,-0.000115657,1.57075,9.95821e-05,-0.000252016,0.000186617
1669303540005895635,-0.000115657,1.57075,8.42421e-05,-0.000252016,0.000186617
1669303540047452864,-0.000115657,1.57075,8.42421e-05,-0.000252016,0.000186617
1669303540047819583,-0.000115657,1.57075,8.42421e-05,-0.000252016,0.000186617
1669303540066978459,-0.000115657,1.57075,8.42421e-05,-0.000252016,0.000186617
1669303540087327020,-0.000115657,1.57075,8.42421e-05,-0.000252016,0.000186617
1669303540129921498,-0.000115657,1.57075,6.8902e-05,-0.000252016,0.000186617
1669303540174053984,-0.000115657,1.57075,6.8902e-05,-0.000252016,0.000186617
1669303540174114959,-0.000115657,1.57075,6.8902e-05,-0.000190656,0.000186617
1669303540217994291,-0.000115657,1.57075,6.8902e-05,-0.000129296,0.000186617
1669303540261698002,-0.000115657,1.57075,6.8902e-05,-0.000113955,0.000186617
1669303540261750781,-0.000115657,1.57075,6.8902e-05,-9.86155e-05,0.000186617
1669303540305708670,-0.000115657,1.57075,6.8902e-05,-8.32755e-05,0.000186617
1669303540305772880,-0.000115657,1.57075,6.8902e-05,-8.32755e-05,0.000186617
1669303540346855788,-0.000115657,1.57075,6.8902e-05,-8.32755e-05,0.000186617
1669303540347156483,-0.000115657,1.57075,6.8902e-05,-8.32755e-05,0.000186617
1669303540366809718,-0.000115657,1.57075,6.8902e-05,-6.79355e-05,0.000186617
1669303540386763868,-0.000115657,1.57075,6.8902e-05,-6.79355e-05,0.000186617
1669303540429886648,-0.000115657,1.57075,6.8902e-05,-6.79355e-05,0.000186617
1669303540473935267,-0.000115657,1.57075,5.3562e-05,-6.79355e-05,0.000186617
1669303540517870724,-0.000115657,1.57075,5.3562e-05,-6.79355e-05,0.000186617
1669303540562073934,-0.000115657,1.57075,5.3562e-05,-6.79355e-05,0.000186617
1669303540605819173,-0.000115657,1.57075,-0.000145858,-6.79355e-05,0.000186617
1669303540646950121,-0.000115657,1.57075,-0.000391298,-5.25954e-05,0.000186617
