time,POE,UAE,HR,FE,PS,J1,J2,J3,J4,J5
1669730533.9636476,-1.4174600623117626,22.14398531151009,23.64490979255524,3.2332641826992408,-87.07042171153874,0.0,0.0,0.0,0.0,0.0
1669730533.9691484,-1.47499670622078,22.16235154233083,23.71621968966496,3.2332641826992408,-87.07042171153874,0.0,0.0,0.0,0.0,0.0
1669730533.970156,-1.4198318497333062,22.162129718465774,23.667959426260545,3.2511644757635696,-87.07059553385737,0.0,0.0,0.0,0.0,0.0
1669730533.9722254,-1.4198318497333062,22.162129718465774,23.667959426260545,3.2488897747388608,-87.06965400002531,0.0,0.0,0.0,0.0,0.0
1669730533.974226,-1.5208126973943128,22.172713215461943,23.768502119173412,3.2488897747388608,-87.06965400002531,0.0,0.0,0.0,0.0,0.0
1669730533.9753544,-1.534046553060484,22.18383327919783,23.792149541920924,3.2457126626677786,-87.05854916715468,0.0,0.0,0.0,0.0,0.0
1669730533.9774516,-1.534046553060484,22.18383327919783,23.792149541920924,3.2392015879590854,-87.05706978331091,0.0,0.0,0.0,0.0,0.0
1669730533.980453,-1.6304915656657712,22.164470019669196,23.854757083774164,3.2392015879590854,-87.05706978331091,0.0,0.0,0.0,0.0,0.0
1669730533.9826763,-1.6352815227324828,22.170660026106724,23.865658233647693,3.2382705371214446,-87.05086800680262,0.0,0.0,0.0,0.0,0.0
1669730533.984691,-1.6352815227324828,22.170660026106724,23.865658233647693,3.229595785045794,-87.05293650752813,0.0,0.0,0.0,0.0,0.0
1669730533.9876914,-1.6660374712270467,22.15690345349918,23.877001178833897,3.229595785045794,-87.05293650752813,0.0,0.0,0.0,0.0,0.0
1669730533.9886918,-1.6776271712211475,22.16857047602055,23.89966207445296,3.2269494520939146,-87.04122000250585,0.0,0.0,0.0,0.0,0.0
1669730533.9901688,-1.6776271712211475,22.16857047602055,23.89966207445296,3.226901510333002,-87.0413486405314,0.0,0.0,0.0,0.0,0.0
1669730533.9923184,-1.770154962714202,22.099190244839384,23.90262014274104,3.226901510333002,-87.0413486405314,0.0,0.0,0.0,0.0,0.0
1669730533.994485,-1.7646139188711099,22.104153344748415,23.903907319676872,3.229452941431621,-87.03663653111444,0.0,0.0,0.0,0.0,0.0
1669730533.9954996,-1.7646139188711099,22.104153344748415,23.903907319676872,3.2331079031456635,-87.03795700575702,0.0,0.0,0.0,0.0,0.0
1669730533.9973376,-1.9283745276318662,21.988562849233336,23.917387923411315,3.2331079031456635,-87.03795700575702,0.0,0.0,0.0,0.0,0.0
1669730533.9993527,-1.9052745921901573,21.996761648330178,23.906647353821285,3.2415615319904614,-87.02991344307232,0.0,0.0,0.0,0.0,0.0
1669730534.0011659,-1.9052745921901573,21.996761648330178,23.906647353821285,3.2441300254818586,-87.02893470510037,0.0,0.0,0.0,0.0,0.0
1669730534.00273,-2.020005920689043,21.910541481772242,23.910541722923547,3.2441300254818586,-87.02893470510037,0.0,0.0,0.0,0.0,0.0
1669730534.0040226,-2.021306147391224,21.917223857438643,23.919113417755014,3.2444241941134555,-87.0223074132286,0.0,0.0,0.0,0.0,0.0
1669730534.0050373,-2.021306147391224,21.917223857438643,23.919113417755014,3.2432934866708134,-87.02453575621723,0.0,0.0,0.0,0.0,0.0
1669730534.0073116,-2.0600215505532398,21.880700163732246,23.912849290730076,3.2432934866708134,-87.02453575621723,0.0,0.0,0.0,0.0,0.0
1669730534.0082984,-2.078398703120058,21.89846871988227,23.9480700965264,3.2389894489763416,-87.00676087125284,0.0,0.0,0.0,0.0,0.0
1669730534.0103536,-2.078398703120058,21.89846871988227,23.9480700965264,3.2368730076692347,-87.00625454519407,0.0,0.0,0.0,0.0,0.0
1669730534.0110881,-2.0677368242485703,21.886330086505996,23.9253420432071,3.2368730076692347,-87.00625454519407,0.0,0.0,0.0,0.0,0.0
1669730534.0133824,-2.065726232841037,21.907020708661015,23.946101148869932,3.2395098991722113,-86.98556278654978,0.0,0.0,0.0,0.0,0.0
1669730534.0148299,-2.065726232841037,21.907020708661015,23.946101148869932,3.239938576010354,-86.98325213944868,0.0,0.0,0.0,0.0,0.0
1669730534.0162926,-2.0442428035341544,21.914905427669922,23.935856057262026,3.239938576010354,-86.98325213944868,0.0,0.0,0.0,0.0,0.0
1669730534.0181348,-2.054138637263092,21.93072883521329,23.961880419205965,3.2383083883640595,-86.96752811365113,0.0,0.0,0.0,0.0,0.0
1669730534.0192394,-2.054138637263092,21.93072883521329,23.961880419205965,3.2414813276529575,-86.96521765490601,0.0,0.0,0.0,0.0,0.0
1669730534.0203118,-2.068767191340924,21.94006846621424,23.98496752885836,3.2414813276529575,-86.96521765490601,0.0,0.0,0.0,0.0,0.0
