time,POE,UAE,HR,FE,PS,J1,J2,J3,J4,J5
1669717479.7298763,-68.31183302050509,15.318556823453006,58.59910963798932,0.38987102667186413,-0.07212525859558344,0.0,0.0,0.0,0.0,0.0
1669717479.7350283,-68.31183302050509,15.318556823453006,58.59910963798932,0.380162191331149,-0.07382886235096868,0.0,0.0,0.0,0.0,0.0
1669717479.7364714,-68.32084970061388,15.319970061989832,58.60541402509063,0.380162191331149,-0.07382886235096868,0.0,0.0,0.0,0.0,0.0
1669717479.738486,-68.31583255149152,15.319743605641502,58.60218308351395,0.38300241264480706,-0.07292533059942972,0.0,0.0,0.0,0.0,0.0
1669717479.7405427,-68.31583255149152,15.319743605641502,58.60218308351395,0.3743871584193884,-0.07402275953610626,0.0,0.0,0.0,0.0,0.0
1669717479.741558,-68.35227823813212,15.339207288013156,58.62721324467832,0.3743871584193884,-0.07402275953610626,0.0,0.0,0.0,0.0,0.0
1669717479.7436397,-68.35245502147546,15.338494336627527,58.63029345306654,0.38068327088072146,-0.07416128938883743,0.0,0.0,0.0,0.0,0.0
1669717479.745258,-68.35245502147546,15.338494336627527,58.63029345306654,0.3733131608693904,-0.07431587611702978,0.0,0.0,0.0,0.0,0.0
1669717479.746201,-68.37502545329602,15.352646913640527,58.64409627774048,0.3733131608693904,-0.07431587611702978,0.0,0.0,0.0,0.0,0.0
1669717479.7476828,-68.3831983086891,15.35492461118041,58.653349325572506,0.3794083168752173,-0.07531227956956002,0.0,0.0,0.0,0.0,0.0
1669717479.7496974,-68.3831983086891,15.35492461118041,58.653349325572506,0.37568424273585543,-0.07643169280885669,0.0,0.0,0.0,0.0,0.0
1669717479.7506976,-68.3760833140974,15.351251743845827,58.64736332699007,0.37568424273585543,-0.07643169280885669,0.0,0.0,0.0,0.0,0.0
1669717479.752021,-68.37962173817725,15.349833451165441,58.653848652344884,0.38232421424674956,-0.07734085928106281,0.0,0.0,0.0,0.0,0.0
1669717479.753425,-68.37962173817725,15.349833451165441,58.653848652344884,0.37903813527817043,-0.07659767500144052,0.0,0.0,0.0,0.0,0.0
1669717479.7546377,-68.35049889391738,15.332870843761041,58.631395581610185,0.37903813527817043,-0.07659767500144052,0.0,0.0,0.0,0.0,0.0
