time,TOxx,TOyx,TOzx,TOxy,TOyy,TOzy,TOxz,TOyz,TOzz,UAxx,UAyx,UAzx,UAxy,UAyy,UAzy,UAxz,UAyz,UAzz,FAxx,FAyx,FAzx,FAxy,FAyy,FAzy,FAxz,FAyz,FAzz
1669731068.904517,-0.8929265737533569,0.4486105144023895,-0.02661924995481968,0.44828107953071594,0.8865723609924316,0.017587319016456604,0.03168637305498123,0.003724527545273304,-0.9994891881942749,-0.8752807378768921,0.03334623575210571,0.4815916419029236,0.48247790336608887,0.023769259452819824,0.8716335892677307,0.016048625111579895,0.9956998229026794,-0.04326069355010986,0.8508746027946472,-0.5131330490112305,-0.014937635511159897,0.5123938322067261,0.8506912589073181,-0.0359787717461586,0.03132522851228714,0.023158906027674675,0.9924935698509216
1669731068.907942,-0.8929387927055359,0.4485865831375122,-0.026614045724272728,0.44825661182403564,0.8865845799446106,0.01760585606098175,0.03168996423482895,0.0037442855536937714,-0.9994890093803406,-0.8752807378768921,0.03334623575210571,0.4815916419029236,0.48247790336608887,0.023769259452819824,0.8716335892677307,0.016048625111579895,0.9956998229026794,-0.04326069355010986,0.8508746027946472,-0.5131330490112305,-0.014937635511159897,0.5123938322067261,0.8506912589073181,-0.0359787717461586,0.03132522851228714,0.023158906027674675,0.9924935698509216
1669731068.9099405,-0.8929387927055359,0.4485865831375122,-0.026614045724272728,0.44825661182403564,0.8865845799446106,0.01760585606098175,0.03168996423482895,0.0037442855536937714,-0.9994890093803406,-0.8752845525741577,0.0334383100271225,0.4815782308578491,0.48247116804122925,0.023954570293426514,0.8716316223144531,0.01604001224040985,0.9956917762756348,-0.04346698522567749,0.8508746027946472,-0.5131330490112305,-0.014937635511159897,0.5123938322067261,0.8506912589073181,-0.0359787717461586,0.03132522851228714,0.023158906027674675,0.9924935698509216
1669731068.911998,-0.8929387927055359,0.4485865831375122,-0.026614045724272728,0.44825661182403564,0.8865845799446106,0.01760585606098175,0.03168996423482895,0.0037442855536937714,-0.9994890093803406,-0.8752845525741577,0.0334383100271225,0.4815782308578491,0.48247116804122925,0.023954570293426514,0.8716316223144531,0.01604001224040985,0.9956917762756348,-0.04346698522567749,0.8508740663528442,-0.5131351947784424,-0.014923417940735817,0.5123966932296753,0.8506906032562256,-0.03596491366624832,0.03130596876144409,0.023154258728027344,0.9924947619438171
1669731068.9134858,-0.892952561378479,0.4485582709312439,-0.026629427447915077,0.4482266306877136,0.8865982890129089,0.017655227333307266,0.031725797802209854,0.003782478626817465,-0.9994876980781555,-0.8752845525741577,0.0334383100271225,0.4815782308578491,0.48247116804122925,0.023954570293426514,0.8716316223144531,0.01604001224040985,0.9956917762756348,-0.04346698522567749,0.8508740663528442,-0.5131351947784424,-0.014923417940735817,0.5123966932296753,0.8506906032562256,-0.03596491366624832,0.03130596876144409,0.023154258728027344,0.9924947619438171
1669731068.914884,-0.892952561378479,0.4485582709312439,-0.026629427447915077,0.4482266306877136,0.8865982890129089,0.017655227333307266,0.031725797802209854,0.003782478626817465,-0.9994876980781555,-0.875257134437561,0.03342080116271973,0.48162925243377686,0.4825204610824585,0.02389293909072876,0.8716063499450684,0.01605220139026642,0.9956940412521362,-0.04340553283691406,0.8508740663528442,-0.5131351947784424,-0.014923417940735817,0.5123966932296753,0.8506906032562256,-0.03596491366624832,0.03130596876144409,0.023154258728027344,0.9924947619438171
1669731068.9163437,-0.892952561378479,0.4485582709312439,-0.026629427447915077,0.4482266306877136,0.8865982890129089,0.017655227333307266,0.031725797802209854,0.003782478626817465,-0.9994876980781555,-0.875257134437561,0.03342080116271973,0.48162925243377686,0.4825204610824585,0.02389293909072876,0.8716063499450684,0.01605220139026642,0.9956940412521362,-0.04340553283691406,0.8508607149124146,-0.513156533241272,-0.01493058167397976,0.5124175548553467,0.8506772518157959,-0.03597439080476761,0.031317561864852905,0.023157916963100433,0.9924938678741455
1669731068.9171777,-0.8929598331451416,0.44854357838630676,-0.026636268943548203,0.4482106864452362,0.886605978012085,0.017693661153316498,0.031749140471220016,0.003814263269305229,-0.9994868636131287,-0.875257134437561,0.03342080116271973,0.48162925243377686,0.4825204610824585,0.02389293909072876,0.8716063499450684,0.01605220139026642,0.9956940412521362,-0.04340553283691406,0.8508607149124146,-0.513156533241272,-0.01493058167397976,0.5124175548553467,0.8506772518157959,-0.03597439080476761,0.031317561864852905,0.023157916963100433,0.9924938678741455
1669731068.918613,-0.8929598331451416,0.44854357838630676,-0.026636268943548203,0.4482106864452362,0.886605978012085,0.017693661153316498,0.031749140471220016,0.003814263269305229,-0.9994868636131287,-0.8752516508102417,0.03327864408493042,0.48164886236190796,0.48253047466278076,0.02365100383758545,0.8716080188751221,0.016044244170188904,0.9957051277160645,-0.043125689029693604,0.8508607149124146,-0.513156533241272,-0.01493058167397976,0.5124175548553467,0.8506772518157959,-0.03597439080476761,0.031317561864852905,0.023157916963100433,0.9924938678741455
1669731068.9201326,-0.8929598331451416,0.44854357838630676,-0.026636268943548203,0.4482106864452362,0.886605978012085,0.017693661153316498,0.031749140471220016,0.003814263269305229,-0.9994868636131287,-0.8752516508102417,0.03327864408493042,0.48164886236190796,0.48253047466278076,0.02365100383758545,0.8716080188751221,0.016044244170188904,0.9957051277160645,-0.043125689029693604,0.8508456349372864,-0.5131813883781433,-0.01496125292032957,0.5124415755271912,0.8506631255149841,-0.03597795218229294,0.031346358358860016,0.02314428612589836,0.9924936890602112
