time,a_TOx,a_TOy,a_TOz,a_UAx,a_UAy,a_UAz,a_FAx,a_FAy,a_FAz
1669634101.4793303,-0.0031186528503894806,0.016030311584472656,0.0007123574614524841,-0.000106053426861763,0.00013406062498688698,0.003238201141357422,-0.0006265211850404739,0.0035465601831674576,0.005229175090789795
1669634101.4883914,-0.0031186528503894806,0.016030311584472656,0.0007123574614524841,-0.000106053426861763,0.00013406062498688698,0.003238201141357422,-0.00011409260332584381,0.002618929371237755,0.012433528900146484
1669634101.4903967,-0.005534771829843521,0.01414269208908081,0.005423424765467644,-0.000106053426861763,0.00013406062498688698,0.003238201141357422,-0.00011409260332584381,0.002618929371237755,0.012433528900146484
1669634101.4928303,-0.005534771829843521,0.01414269208908081,0.005423424765467644,0.0008129272609949112,0.002054238226264715,0.009522974491119385,-0.00011409260332584381,0.002618929371237755,0.012433528900146484
1669634101.4948332,-0.005534771829843521,0.01414269208908081,0.005423424765467644,0.0008129272609949112,0.002054238226264715,0.009522974491119385,0.0037657488137483597,0.002572113648056984,0.010024785995483398
1669634101.495831,-0.0006441343575716019,0.012566208839416504,-0.002776697278022766,0.0008129272609949112,0.002054238226264715,0.009522974491119385,0.0037657488137483597,0.002572113648056984,0.010024785995483398
1669634101.4977186,-0.0006441343575716019,0.012566208839416504,-0.002776697278022766,-0.0005738064646720886,-0.003748873248696327,0.003665626049041748,0.0037657488137483597,0.002572113648056984,0.010024785995483398
1669634101.499792,-0.0006441343575716019,0.012566208839416504,-0.002776697278022766,-0.0005738064646720886,-0.003748873248696327,0.003665626049041748,-0.0011985450983047485,0.00013848207890987396,0.0033063888549804688
1669634101.501802,-0.0006205160170793533,0.0140305757522583,-0.0026820506900548935,-0.0005738064646720886,-0.003748873248696327,0.003665626049041748,-0.0011985450983047485,0.00013848207890987396,0.0033063888549804688
1669634101.502793,-0.0006205160170793533,0.0140305757522583,-0.0026820506900548935,0.00037468597292900085,-0.0008090618066489697,-0.0011011362075805664,-0.0011985450983047485,0.00013848207890987396,0.0033063888549804688
1669634101.504581,-0.0006205160170793533,0.0140305757522583,-0.0026820506900548935,0.00037468597292900085,-0.0008090618066489697,-0.0011011362075805664,-0.00015980936586856842,-0.0003084428608417511,0.00858694314956665
1669634101.5057213,0.0008566379547119141,0.012112855911254883,0.0002031959593296051,0.00037468597292900085,-0.0008090618066489697,-0.0011011362075805664,-0.00015980936586856842,-0.0003084428608417511,0.00858694314956665
