time,POE,UAE,HR,FE,PS,J1,J2,J3,J4,J5
1669728671.6876988,-29.02619655533621,91.32593764865639,-48.16623155566152,0.21332261015746407,-0.005808577334221642,0.0,0.0,0.0,0.0,0.0
1669728671.6923783,-29.02442815323543,91.33007037360328,-48.16588676386039,0.21435825404584785,-0.002353335279871115,0.0,0.0,0.0,0.0,0.0
1669728671.6955504,-29.02442815323543,91.33007037360328,-48.16588676386039,0.215402707399519,-0.002129207266357903,0.0,0.0,0.0,0.0,0.0
1669728671.697962,-28.9771798033711,91.31466187437049,-48.113300332480584,0.215402707399519,-0.002129207266357903,0.0,0.0,0.0,0.0,0.0
1669728671.699309,-28.976407995959324,91.31581946774972,-48.11019725877051,0.20990112340527564,-0.0009404161305930932,0.0,0.0,0.0,0.0,0.0
1669728671.7014742,-28.976407995959324,91.31581946774972,-48.11019725877051,0.21168846548686998,0.0003143926960111813,0.0,0.0,0.0,0.0,0.0
1669728671.7034752,-28.95105577693653,91.29577664902183,-48.07456084991293,0.21168846548686998,0.0003143926960111813,0.0,0.0,0.0,0.0,0.0
1669728671.7054758,-28.951386143393126,91.29628073743476,-48.07249278001225,0.20616320376087488,0.0003005571373697643,0.0,0.0,0.0,0.0,0.0
1669728671.706476,-28.951386143393126,91.29628073743476,-48.07249278001225,0.20800901710404907,6.256508722182897e-05,0.0,0.0,0.0,0.0,0.0
1669728671.7084763,-28.93876415736811,91.28137577920336,-48.04683616075383,0.20800901710404907,6.256508722182897e-05,0.0,0.0,0.0,0.0,0.0
1669728671.7094767,-28.939384355339563,91.28341254842299,-48.04374205222023,0.19865456974885887,0.0005756721916197808,0.0,0.0,0.0,0.0,0.0
1669728671.7121303,-28.939384355339563,91.28341254842299,-48.04374205222023,0.2001778985124197,0.0010122456168105449,0.0,0.0,0.0,0.0,0.0
1669728671.7131445,-28.948685062360738,91.28640710506967,-48.04743352987261,0.2001778985124197,0.0010122456168105449,0.0,0.0,0.0,0.0,0.0
1669728671.7151392,-28.949308506873276,91.28625715641898,-48.04346602712325,0.19026536727676047,0.0004405982681525837,0.0,0.0,0.0,0.0,0.0
1669728671.7171395,-28.949308506873276,91.28625715641898,-48.04346602712325,0.19328522020049405,0.00029295844492815764,0.0,0.0,0.0,0.0,0.0
1669728671.718037,-28.954260367147366,91.29985676710714,-48.04916271227884,0.19328522020049405,0.00029295844492815764,0.0,0.0,0.0,0.0,0.0
1669728671.7190516,-28.952235928792103,91.30205168093576,-48.0439859093217,0.1857112711380592,0.0029953058811740597,0.0,0.0,0.0,0.0,0.0
1669728671.7214887,-28.952235928792103,91.30205168093576,-48.0439859093217,0.18872382142775765,0.0021398737144821193,0.0,0.0,0.0,0.0,0.0
1669728671.7228642,-28.944507330691454,91.30907854437268,-48.02279652387134,0.18872382142775765,0.0021398737144821193,0.0,0.0,0.0,0.0,0.0
1669728671.7243557,-28.942936250788456,91.30997434011387,-48.01925164907944,0.18434420271959923,0.0038379830156268194,0.0,0.0,0.0,0.0,0.0
1669728671.725794,-28.942936250788456,91.30997434011387,-48.01925164907944,0.1881224785042373,0.004279387201701802,0.0,0.0,0.0,0.0,0.0
1669728671.7272663,-28.928507871876153,91.30932995638818,-47.99968475199552,0.1881224785042373,0.004279387201701802,0.0,0.0,0.0,0.0,0.0
1669728671.7293622,-28.92858568270809,91.31013406514866,-47.99789870119239,0.18360362741362385,0.004615185364558452,0.0,0.0,0.0,0.0,0.0
1669728671.7302773,-28.92858568270809,91.31013406514866,-47.99789870119239,0.18752519922039268,0.006357131339345126,0.0,0.0,0.0,0.0,0.0
1669728671.7317467,-28.93118477417083,91.31483997609723,-48.006577318774816,0.18752519922039268,0.006357131339345126,0.0,0.0,0.0,0.0,0.0
1669728671.7331855,-28.931725391997603,91.31357878177216,-48.006484589013084,0.18679653434961563,0.005301449760116104,0.0,0.0,0.0,0.0,0.0
1669728671.7355516,-28.931725391997603,91.31357878177216,-48.006484589013084,0.19011212850105239,0.00640657803672776,0.0,0.0,0.0,0.0,0.0
1669728671.7355516,-28.957033026014575,91.31964608015954,-48.03319170296094,0.19011212850105239,0.00640657803672776,0.0,0.0,0.0,0.0,0.0
1669728671.7385669,-28.957258139661185,91.31744389076725,-48.03233268095109,0.18906079638434115,0.0051375932338115935,0.0,0.0,0.0,0.0,0.0
1669728671.7401466,-28.957258139661185,91.31744389076725,-48.03233268095109,0.18647619574201016,0.005956902373058032,0.0,0.0,0.0,0.0,0.0
1669728671.7421486,-28.969114101117647,91.3213689933578,-48.038079592355096,0.18647619574201016,0.005956902373058032,0.0,0.0,0.0,0.0,0.0
1669728671.743728,-28.967857638241163,91.3245157341202,-48.03878226985547,0.18909844252954378,0.008516796311260452,0.0,0.0,0.0,0.0,0.0
1669728671.7447455,-28.967857638241163,91.3245157341202,-48.03878226985547,0.1832451019213503,0.00887594664424496,0.0,0.0,0.0,0.0,0.0
1669728671.747495,-28.972976041691442,91.33247810578315,-48.05698660272481,0.1832451019213503,0.00887594664424496,0.0,0.0,0.0,0.0,0.0
1669728671.7495346,-28.972246983401888,91.3338593221023,-48.05861805408287,0.18767237036695839,0.010141278814007842,0.0,0.0,0.0,0.0,0.0
1669728671.750535,-28.972246983401888,91.3338593221023,-48.05861805408287,0.18443989613844508,0.0086611331005733,0.0,0.0,0.0,0.0,0.0
1669728671.7540476,-28.965307395981416,91.32723811744432,-48.0702073884872,0.18443989613844508,0.0086611331005733,0.0,0.0,0.0,0.0,0.0
1669728671.757066,-28.963958082861332,91.32706457666332,-48.07125959534767,0.19005269996664625,0.009652396334402976,0.0,0.0,0.0,0.0,0.0
1669728671.7586985,-28.963958082861332,91.32706457666332,-48.07125959534767,0.1946355815168854,0.008932574508093314,0.0,0.0,0.0,0.0,0.0
1669728671.759716,-28.96375803702364,91.32035224411405,-48.07912232039133,0.1946355815168854,0.008932574508093314,0.0,0.0,0.0,0.0,0.0
1669728671.7616649,-28.96589091512124,91.31815516201223,-48.084884645532135,0.20320630481069563,0.006143329365582934,0.0,0.0,0.0,0.0,0.0
1669728671.763772,-28.96589091512124,91.31815516201223,-48.084884645532135,0.2071381505618139,0.004302998150706295,0.0,0.0,0.0,0.0,0.0
1669728671.7647722,-28.960763166306716,91.31933849106926,-48.08903064115425,0.2071381505618139,0.004302998150706295,0.0,0.0,0.0,0.0,0.0
1669728671.7668319,-28.95948665737908,91.32020807261516,-48.09218368257689,0.21644563267791478,0.005751622346705773,0.0,0.0,0.0,0.0,0.0
1669728671.7679486,-28.95948665737908,91.32020807261516,-48.09218368257689,0.21465602851779558,0.006856931766971572,0.0,0.0,0.0,0.0,0.0
1669728671.770146,-28.944409338876337,91.32277432082108,-48.085014095775065,0.21465602851779558,0.006856931766971572,0.0,0.0,0.0,0.0,0.0
1669728671.77181,-28.94441201441137,91.32284054848809,-48.08787796842398,0.22075083063324571,0.006887558852393169,0.0,0.0,0.0,0.0,0.0
1669728671.7732155,-28.94441201441137,91.32284054848809,-48.08787796842398,0.21877490518266463,0.005537988793704889,0.0,0.0,0.0,0.0,0.0
1669728671.774917,-28.932675922678428,91.3350837178016,-48.092480100228244,0.21877490518266463,0.005537988793704889,0.0,0.0,0.0,0.0,0.0
1669728671.778241,-28.93422957878148,91.33648450420196,-48.0964691641174,0.2227572889241632,0.004992085751616304,0.0,0.0,0.0,0.0,0.0
1669728671.7802591,-28.93422957878148,91.33648450420196,-48.0964691641174,0.21596152567240762,0.0046021070327287895,0.0,0.0,0.0,0.0,0.0
1669728671.7836537,-28.927085623614307,91.33938701051405,-48.088770518154675,0.21596152567240762,0.0046021070327287895,0.0,0.0,0.0,0.0,0.0
1669728671.78651,-28.927582130877084,91.34050770757001,-48.09200292416089,0.22102591859564796,0.00476106354084154,0.0,0.0,0.0,0.0,0.0
1669728671.7885108,-28.927582130877084,91.34050770757001,-48.09200292416089,0.21260632802899937,0.0022888964356772225,0.0,0.0,0.0,0.0,0.0
1669728671.7910805,-28.907277074617358,91.33439581627238,-48.06873827525014,0.21260632802899937,0.0022888964356772225,0.0,0.0,0.0,0.0,0.0
1669728671.7947333,-28.909730794933967,91.33304526241878,-48.07292651945532,0.21651145792190235,-0.000336942188087401,0.0,0.0,0.0,0.0,0.0
1669728671.7971067,-28.909730794933967,91.33304526241878,-48.07292651945532,0.20802317664134992,0.0007773304855809406,0.0,0.0,0.0,0.0,0.0
